Cx,Cy
195,-194
196,-196
196,-197
196,-198
198,-198
198,-199
198,-197
198,-196
199,-195
198,-191
199,-189
198,-187
197,-185
197,-181
197,-180
199,-176
199,-176
201,-176
201,-174
201,-173
202,-173
202,-172
203,-172
204,-171
204,-170
205,-169
208,-170
208,-170
210,-169
212,-167
213,-167
214,-165
214,-163
214,-159
213,-157
214,-152
212,-148
211,-142
210,-136
210,-131
211,-126
211,-119
212,-113
213,-103
215,-96
219,-88
222,-78
223,-68
225,-60
227,-50
225,-41
224,-34
221,-26
216,-18
213,-11
209,-6
206,1
203,4
200,10
196,14
194,16
190,19
187,22
183,23
180,26
177,28
175,30
172,32
169,38
164,42
160,47
152,52
144,58
135,62
128,68
117,74
108,78
98,81
90,83
81,87
70,88
61,87
51,88
40,87
32,85
23,84
15,81
8,76
2,71
-3,65
-9,60
-14,55
-18,51
-23,45
-27,42
-32,36
-37,35
-42,31
-46,26
-50,23
-57,20
-63,18
-67,17
-72,15
-76,14
-81,14
-86,15
-90,15
-94,18
-97,18
-101,18
-103,19
-105,19
-105,20
-104,21
-104,21
-104,22
-101,20
-100,20
-98,19
-96,16
-94,16
-93,15
-93,14
-92,14
-93,11
-96,12
-98,12
-100,10
-103,7
-107,5
-109,1
-111,-1
-114,-6
-116,-12
-118,-18
-118,-24
-119,-32
-118,-38
-117,-47
-115,-56
-116,-64
-113,-71
-111,-80
-107,-87
-103,-93
-100,-100
-93,-107
-89,-111
-86,-115
-81,-120
-77,-124
-72,-130
-66,-135
-61,-140
-57,-146
-53,-153
-49,-157
-43,-161
-37,-166
-33,-168
-27,-172
-22,-174
-18,-175
-13,-176
-8,-177
0,-177
8,-176
18,-175
28,-175
36,-172
46,-171
55,-168
63,-165
69,-163
73,-161
78,-160
81,-160
82,-158
87,-157
87,-159
88,-162
87,-166
88,-168
87,-175
87,-179
87,-183
87,-185
86,-184
87,-183
88,-180
88,-175
88,-174
89,-172
92,-171
97,-172
99,-172
102,-174
105,-177
104,-182
104,-186
106,-193
107,-196
106,-200
109,-202
109,-203
110,-205
111,-206
110,-206
111,-206
111,-206
112,-204
115,-203
118,-202
119,-201
119,-201
121,-201
122,-202
119,-203
117,-208
114,-211
110,-213
106,-218
103,-220
101,-222
101,-224
101,-223
101,-222
100,-221
98,-220
99,-220
100,-219
101,-218
103,-218
107,-219
110,-223
114,-224
117,-223
121,-225
125,-226
126,-226
129,-225
130,-225
128,-223
128,-224
127,-224
125,-224
124,-223
123,-221
122,-220
123,-216
123,-213
124,-210
126,-207
129,-205
130,-202
133,-202
135,-202
137,-202
141,-203
143,-204
147,-204
149,-203
151,-202
153,-200
156,-198
158,-196
160,-194
161,-192
162,-191
163,-192
166,-193
167,-194
171,-195
171,-197
173,-200
